date,open_price,high_price,low_price,close_price,monthly_change_(open_to_close)_%,range_%,closing_momentum,volatility_index,momentum_score
2006-02-28,1.2154,1.2166,1.1825,1.192,-1.9253,2.8837,0.2786,2.8607,-0.6862
2006-03-31,1.1921,1.2207,1.1857,1.2121,1.6777,2.9518,0.7543,2.8876,0.5714
2006-04-28,1.2116,1.2635,1.2029,1.2613,4.102,5.0378,0.9637,4.8046,0.8201
2006-05-31,1.2628,1.2971,1.2553,1.2812,1.4571,3.3299,0.6196,3.2626,0.4402
2006-06-30,1.2817,1.298,1.2475,1.2789,-0.2185,4.0481,0.6218,3.9487,-0.0554
2006-07-31,1.2786,1.2859,1.2458,1.2766,-0.1564,3.2188,0.7681,3.1412,-0.0499
2006-08-31,1.2763,1.2938,1.2695,1.2806,0.3369,1.9141,0.4568,1.8975,0.177
2006-09-29,1.2805,1.2874,1.2632,1.2674,-1.023,1.9158,0.1736,1.9094,-0.5413
2006-10-31,1.268,1.2782,1.2483,1.2762,0.6467,2.3953,0.9331,2.3429,0.2742
2006-11-30,1.2761,1.3274,1.2682,1.3241,3.7615,4.668,0.9443,4.471,0.8108
2006-12-29,1.3241,1.3367,1.3052,1.3197,-0.3323,2.4134,0.4603,2.3869,-0.1397
2007-01-31,1.3197,1.3296,1.2867,1.3033,-1.2427,3.3341,0.3869,3.2916,-0.3823
2007-02-28,1.3032,1.3259,1.2912,1.3225,1.481,2.6874,0.902,2.6238,0.5562
2007-03-30,1.3226,1.341,1.3072,1.3352,0.9527,2.5857,0.8284,2.5315,0.3728
2007-04-30,1.3373,1.3679,1.3319,1.3646,2.0414,2.7029,0.9083,2.6381,0.7583
2007-05-31,1.3647,1.3673,1.3408,1.3453,-1.4216,1.9764,0.1698,1.9698,-0.7321
2007-06-29,1.3452,1.3551,1.3264,1.3541,0.6616,2.1638,0.9652,2.1195,0.3101
2007-07-31,1.3541,1.3851,1.3528,1.3683,1.0487,2.3876,0.4799,2.3606,0.4396
2007-08-31,1.3682,1.3838,1.337,1.3628,-0.3947,3.5004,0.5513,3.4341,-0.1154
2007-09-28,1.3629,1.4278,1.3551,1.4266,4.6739,5.3649,0.9835,5.096,0.8762
2007-10-31,1.4268,1.4503,1.4014,1.4478,1.4718,3.4894,0.9489,3.3775,0.4294
2007-11-30,1.4477,1.4966,1.4403,1.4632,1.0707,3.9089,0.4067,3.8477,0.2753
2007-12-31,1.4639,1.477,1.4309,1.4584,-0.3757,3.2217,0.5965,3.161,-0.1193
2008-01-31,1.4587,1.4918,1.4366,1.4858,1.8578,3.8424,0.8913,3.7152,0.4909
2008-02-29,1.486,1.5238,1.444,1.5189,2.214,5.5263,0.9386,5.2538,0.4123
2008-03-31,1.5194,1.5903,1.5146,1.5762,3.7383,4.998,0.8137,4.8027,0.7503
2008-04-30,1.5761,1.6017,1.5511,1.5618,-0.9073,3.2622,0.2115,3.2399,-0.2826
2008-05-30,1.5619,1.5817,1.5289,1.5554,-0.4162,3.4535,0.5019,3.3946,-0.1231
2008-06-30,1.5561,1.5842,1.5304,1.5754,1.2403,3.5154,0.8364,3.415,0.3587
2008-07-31,1.5754,1.6035,1.5519,1.5597,-0.9966,3.325,0.1512,3.3083,-0.3043
2008-08-29,1.5598,1.563,1.457,1.4671,-5.9431,7.2752,0.0953,7.2251,-0.8745
2008-09-30,1.4686,1.4867,1.3882,1.4115,-3.8881,7.0955,0.2365,6.9784,-0.5797
2008-10-31,1.4114,1.4174,1.2329,1.2731,-9.7988,14.9647,0.2179,14.4922,-0.7496
2008-11-28,1.2726,1.3116,1.2389,1.2693,-0.2593,5.8681,0.4182,5.7276,-0.0454
2008-12-31,1.2692,1.4719,1.2549,1.3971,10.0772,17.2922,0.6553,15.5322,0.5894
2009-01-30,1.3968,1.4069,1.2764,1.2809,-8.2975,10.2241,0.0345,10.1881,-0.8881
2009-02-27,1.281,1.3094,1.2513,1.2672,-1.0773,4.6432,0.2737,4.5849,-0.2375
